Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexes/base.py:320(Index)
     1761    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
      311    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/function_base.py:487(add_newdoc)
2671/2481    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      745    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1017    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2368    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      153    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     3692    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1246(<genexpr>)
     1018    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
        1    0.000    0.000    0.005    0.005 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/peewee.py:1(<module>)
      509    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
      241    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:345(_remove_dups_flatten)
  593/590    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       93    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:254(__set_name__)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:919(_convert_)
      243    0.000    0.000    0.053    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
     1260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1552    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       98    0.000    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2184(_sequence_to_dt64)
      861    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
      112    0.000    0.000    0.004    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
       52    0.000    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1156(maybe_infer_to_datetimelike)
       49    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2354(objects_to_datetime64)
     1472    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:172(__setitem__)
    52/14    0.000    0.000    0.008    0.001 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:911(parse_selectors)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tempfile.py:824(SpooledTemporaryFile)
     2268    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       84    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       28    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:875(cleandoc)
      936    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     3123    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1011    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:726(__call__)
     2206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      593    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      711    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        4    0.000    0.000    0.000    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
   465/16    0.000    0.000    0.398    0.025 {built-in method builtins.__import__}
     1235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1252    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
       98    0.000    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:329(_from_sequence_not_strict)
     1065    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
       54    0.000    0.000    0.006    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/pathlib.py:1(<module>)
       97    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:123(maybe_convert_platform)
      159    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
      592    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.087    0.087 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/__init__.py:1(<module>)
      489    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
       37    0.000    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:528(__new__)
     1111    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
      828    0.000    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:723(<genexpr>)
     1169    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     2481    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:307(match)
