Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      736    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      736    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      736    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      736    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      731    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
  730/622    0.001    0.000    0.027    0.000 /usr/lib/python3.12/typing.py:392(inner)
      727    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      720    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1598(_value_and_type_iter)
      712    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      712    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      711    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      711    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      690    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2154(cast)
    686/3    0.001    0.000    0.443    0.148 <frozen importlib._bootstrap>:911(_load_unlocked)
  686/676    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      686    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      686    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
  668/562    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1258(__hash__)
      660    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      660    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      660    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      650    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:2777(kind)
      650    0.000    0.000    0.005    0.000 /usr/lib/python3.12/re/__init__.py:179(sub)
      649    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:2765(name)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      638    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      628    0.002    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1609(__hash__)
      628    0.002    0.000    0.003    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
    611/1    0.003    0.000    1.394    1.394 {built-in method builtins.exec}
      602    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
      593    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
  593/590    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      593    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      592    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      592    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
      592    0.035    0.000    0.035    0.000 {built-in method _io.open_code}
      592    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      592    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      592    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      592    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      592    0.003    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    592/3    0.001    0.000    0.443    0.148 <frozen importlib._bootstrap_external>:989(exec_module)
      592    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      592    0.011    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      592    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      592    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      555    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:65(wraps)
      534    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2534(final)
      509    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:13(ismethod)
      509    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:26(isfunction)
      509    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
      509    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:96(getargspec)
  507/131    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
  507/131    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
      505    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      505    0.002    0.000    0.012    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
      504    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      490    0.001    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:65(getargs)
      490    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:41(iscode)
      489    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
      486    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
      486    0.001    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
      478    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:59(_is_sunder)
      478    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      472    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_types.py:41(__init__)
      467    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
   465/16    0.000    0.000    0.398    0.025 {built-in method builtins.__import__}
      462    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_types.py:73(__hash__)
      461    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1603(__eq__)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      454    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:428(_get_iscased)
      453    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
      453    0.002    0.000    0.015    0.000 /usr/lib/python3.12/textwrap.py:419(dedent)
      443    0.002    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:262(_collect_parameters)
      440    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:79(<lambda>)
      427    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      417    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
      412    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:265(getwhile)
      404    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      401    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      401    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1185(__init__)
      399    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      398    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:2712(__init__)
      392    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      384    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      372    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      372    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      359    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:551(dtype)
    347/1    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/__config__.py:19(_cleanup)
      342    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:31(_combine_flags)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      333    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:317(_deduplicate)
      329    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/indexes/base.py:909(__len__)
      328    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      325    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:1094(selector_iter)
      318    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
  318/317    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:241(__set_name__)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.12/types.py:192(__init__)
      311    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/function_base.py:487(add_newdoc)
      311    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:302(get_name)
      311    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/function_base.py:455(_needs_add_docstring)
      311    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/function_base.py:473(_add_docstring)
      309    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
      308    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:238(css_unescape)
      300    0.000    0.000    0.086    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
